State,Parliament Constituency,Winning Candidate,Total Votes,Margin
Chhattisgarh,JANJGIR-CHAMPA(3),KAMLESH JANGDE,678199,60000
Chhattisgarh,BILASPUR(5),TOKHAN SAHU,724937,164558
Chhattisgarh,RAJNANDGAON(6),SANTOSH PANDEY,712057,44411
Chhattisgarh,DURG(7),VIJAY BAGHEL,956497,438226
Chhattisgarh,RAIPUR(8),BRIJMOHAN AGRAWAL,1050351,575285
Chhattisgarh,MAHASAMUND(9),ROOP KUMARI CHOUDHARY,703659,145456
Chhattisgarh,BASTAR(10),MAHESH KASHYAP,458398,55245
Chhattisgarh,KANKER(11),BHOJRAJ NAG,597624,1884
Chhattisgarh,KORBA(4),JYOTSNA CHARANDAS MAHANT,570182,43283
Dadra & Nagar Haveli and Daman & Diu,Dadar & Nagar Haveli(2),DELKAR KALABEN MOHANBHAI,121074,57584
Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),PATEL UMESHBHAI BABUBHAI,42523,6225
Goa,North Goa(1),SHRIPAD YESSO NAIK,257326,116015
Goa,South Goa(2),CAPTAIN  VIRIATO FERNANDES,217836,13535
Gujarat,Kachchh(1),CHAVDA VINOD LAKHAMSHI,659574,268782
Gujarat,Patan(3),DABHI  BHARATSINHJI  SHANKARJI,591947,31876
Gujarat,Mahesana(4),HARIBHAI PATEL,686406,328046
Gujarat,Sabarkantha(5),SHOBHANABEN MAHENDRASINH BARAIYA,677318,155682
Gujarat,Gandhinagar(6),AMIT SHAH,1010972,744716
Gujarat,Ahmedabad East(7),HASMUKHBHAI PATEL (H.S.PATEL),770459,461755
Gujarat,Ahmedabad West(8),DINESHBHAI MAKWANA (ADVOCATE),611704,286437
Gujarat,Surendranagar(9),CHANDUBHAI CHHAGANBHAI SHIHORA,669749,261617
Gujarat,Rajkot(10),PARSHOTTAMBHAI RUPALA,857984,484260
Gujarat,Porbandar(11),DR. MANSUKH MANDAVIYA,633118,383360
Gujarat,Jamnagar(12),POONAMBEN HEMATBHAI MAADAM,620049,238008
Gujarat,Junagadh(13),CHUDASAMA RAJESHBHAI NARANBHAI,584049,135494
Gujarat,Amreli(14),BHARATBHAI MANUBHAI SUTARIYA,580872,321068
Gujarat,Bhavnagar(15),NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),716883,455289
Gujarat,Anand(16),MITESH PATEL (BAKABHAI),612484,89939
Gujarat,Kheda(17),DEVUSINH CHAUHAN,744435,357758
Gujarat,Panchmahal(18),RAJPALSINH MAHENDRASINH JADAV,794579,509342
Gujarat,Dahod(19),JASWANTSINH SUMANBHAI BHABHOR,688715,333677
Gujarat,Vadodara(20),DR. HEMANG JOSHI,873189,582126
Gujarat,Chhota Udaipur(21),JASHUBHAI BHILUBHAI RATHVA,796589,398777
Gujarat,Bharuch(22),MANSUKHBHAI DHANJIBHAI VASAVA,608157,85696
Gujarat,Bardoli(23),PARBHUBHAI NAGARBHAI VASAVA,763950,230253
Gujarat,Surat(24),MUKESHKUMAR CHANDRAKAANT DALAL (Uncontested),-,-
Gujarat,Navsari(25),C R PATIL,1031065,773551
Gujarat,Valsad(26),DHAVAL LAXMANBHAI PATEL,764226,210704
Gujarat,Banaskantha(2),GENIBEN NAGAJI THAKOR,671883,30406
Haryana,AMBALA(1),VARUN CHAUDHRY,663657,49036
Haryana,SIRSA(3),SELJA,733823,268497
Haryana,HISAR(4),JAI PARKASH (J P) S/O HARIKESH,570424,63381
Haryana,SONIPAT(6),SATPAL BRAHAMCHARI,548682,21816
Haryana,ROHTAK(7),DEEPENDER SINGH HOODA,783578,345298
Haryana,KURUKSHETRA(2),NAVEEN JINDAL,542175,29021
Haryana,KARNAL(5),MANOHAR LAL,739285,232577
Haryana,BHIWANI-MAHENDRAGARH(8),DHARAMBIR SINGH,588664,41510
Haryana,GURGAON(9),RAO INDERJIT SINGH,808336,75079
Haryana,FARIDABAD(10),KRISHAN PAL,788569,172914
Himachal Pradesh,KANGRA(1),DR RAJEEV BHARDWAJ,632793,251895
Himachal Pradesh,MANDI(2),KANGNA RANAUT,537022,74755
Himachal Pradesh,HAMIRPUR(3),ANURAG SINGH THAKUR,607068,182357
Himachal Pradesh,SHIMLA(4),Suresh Kumar Kashyap,519748,91451
Jammu and Kashmir,SRINAGAR(2),AGA SYED RUHULLAH MEHDI,356866,188416
