Party Name,Parliament Constituency,Winning Candidate,Total Votes,Margin
Bharatiya Janata Party - BJP,Anand(16),MITESH PATEL (BAKABHAI),612484,89939
Bharatiya Janata Party - BJP,Kheda(17),DEVUSINH CHAUHAN,744435,357758
Bharatiya Janata Party - BJP,Panchmahal(18),RAJPALSINH MAHENDRASINH JADAV,794579,509342
Bharatiya Janata Party - BJP,Dahod(19),JASWANTSINH SUMANBHAI BHABHOR,688715,333677
Bharatiya Janata Party - BJP,Vadodara(20),DR. HEMANG JOSHI,873189,582126
Bharatiya Janata Party - BJP,Chhota Udaipur(21),JASHUBHAI BHILUBHAI RATHVA,796589,398777
Bharatiya Janata Party - BJP,Bharuch(22),MANSUKHBHAI DHANJIBHAI VASAVA,608157,85696
Bharatiya Janata Party - BJP,Bardoli(23),PARBHUBHAI NAGARBHAI VASAVA,763950,230253
Bharatiya Janata Party - BJP,Surat(24),MUKESHKUMAR CHANDRAKAANT DALAL (Uncontested),-,-
Bharatiya Janata Party - BJP,Navsari(25),C R PATIL,1031065,773551
Bharatiya Janata Party - BJP,Valsad(26),DHAVAL LAXMANBHAI PATEL,764226,210704
Bharatiya Janata Party - BJP,KURUKSHETRA(2),NAVEEN JINDAL,542175,29021
Bharatiya Janata Party - BJP,KARNAL(5),MANOHAR LAL,739285,232577
Bharatiya Janata Party - BJP,BHIWANI-MAHENDRAGARH(8),DHARAMBIR SINGH,588664,41510
Bharatiya Janata Party - BJP,GURGAON(9),RAO INDERJIT SINGH,808336,75079
Bharatiya Janata Party - BJP,FARIDABAD(10),KRISHAN PAL,788569,172914
Bharatiya Janata Party - BJP,KANGRA(1),DR RAJEEV BHARDWAJ,632793,251895
Bharatiya Janata Party - BJP,MANDI(2),KANGNA RANAUT,537022,74755
Bharatiya Janata Party - BJP,HAMIRPUR(3),ANURAG SINGH THAKUR,607068,182357
Bharatiya Janata Party - BJP,SHIMLA(4),Suresh Kumar Kashyap,519748,91451
Bharatiya Janata Party - BJP,Belgaum(2),JAGADISH SHETTAR,762029,178437
Bharatiya Janata Party - BJP,Bagalkot(3),GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,671039,68399
Bharatiya Janata Party - BJP,Bijapur(4),RAMESH JIGAJINAGI,672781,77229
