Party Name,Parliament Constituency,Winning Candidate,Total Votes,Margin
Indian National Congress - INC,JHUNJHUNU     (4),BRIJENDRA SINGH OLA,553168,18235
Indian National Congress - INC,BHARATPUR (9),SANJNA JATAV,579890,51983
Indian National Congress - INC,KARAULI-DHOLPUR (10),BHAJAN LAL JATAV,530011,98945
Indian National Congress - INC,DAUSA (11),MURARI LAL MEENA,646266,237340
Indian National Congress - INC,TONK-SAWAI MADHOPUR (12),HARISH CHANDRA MEENA,623763,64949
Indian National Congress - INC,BARMER(17),UMMEDA RAM BENIWAL,704676,118176
Indian National Congress - INC,TIRUVALLUR(1),Sasikanth Senthil,796956,572155
Indian National Congress - INC,KRISHNAGIRI(9),GOPINATH K,492883,192486
Indian National Congress - INC,KARUR(23),JOTHIMANI. S,534906,166816
Indian National Congress - INC,CUDDALORE(26),M.K. VISHNUPRASAD,455053,185896
Indian National Congress - INC,MAYILADUTHURAI(28),SUDHA R,518459,271183
Indian National Congress - INC,SIVAGANGA(31),KARTI P CHIDAMBARAM,427677,205664
Indian National Congress - INC,VIRUDHUNAGAR(34),MANICKAM TAGORE B,385256,4379
Indian National Congress - INC,TIRUNELVELI(38),ROBERT BRUCE C,502296,165620
Indian National Congress - INC,KANNIYAKUMARI(39),VIJAYAKUMAR (Alias) VIJAY VASANTH,546248,179907
Indian National Congress - INC,Saharanpur(1),IMRAN MASOOD,547967,64542
Indian National Congress - INC,Sitapur(30),RAKESH RATHOR,531138,89641
Indian National Congress - INC,Rae Bareli(36),RAHUL GANDHI,687649,390030
Indian National Congress - INC,Amethi(37),KISHORI LAL,539228,167196
Indian National Congress - INC,Allahabad(52),UJJWAL RAMAN SINGH,462145,58795
Indian National Congress - INC,Barabanki(53),TANUJ PUNIA,719927,215704
Indian National Congress - INC,Maldaha Dakshin(8),ISHA KHAN CHOUDHURY,572395,128368
Indian National Congress - INC,KORBA(4),JYOTSNA CHARANDAS MAHANT,570182,43283
Indian National Congress - INC,Khunti(11),KALI CHARAN MUNDA,511647,149675
Indian National Congress - INC,Lohardaga(12),SUKHDEO BHAGAT,483038,139138
Indian National Congress - INC,Peddapalle (2),VAMSI KRISHNA GADDAM,475587,131364
Indian National Congress - INC,Zahirabad(5),SURESH KUMAR SHETKAR,528418,46188
Indian National Congress - INC,Nagarkurnool(12),DR.MALLU RAVI,465072,94414
Indian National Congress - INC,Nalgonda(13),KUNDURU RAGHUVEER,784337,559905
Indian National Congress - INC,Bhongir (14),CHAMALA KIRAN KUMAR REDDY,629143,222170
Indian National Congress - INC,Warangal(15),KADIYAM KAVYA,581294,220339
Indian National Congress - INC,Mahabubabad  (16),BALRAM NAIK PORIKA,612774,349165
Indian National Congress - INC,Khammam (17),RAMASAHAYAM RAGHURAM REDDY,766929,467847
Indian National Congress - INC,Chandigarh(1),MANISH TEWARI,216657,2504
Indian National Congress - INC,Lakshadweep(1),MUHAMMED HAMDULLAH SAYEED,25726,2647
Indian National Congress - INC,PUDUCHERRY(1),VE VAITHILINGAM,426005,136516
Samajwadi Party - SP,Kairana(2),IQRA CHOUDHARY,528013,69116
Samajwadi Party - SP,Muzaffarnagar(3),HARENDRA SINGH MALIK,470721,24672
Samajwadi Party - SP,Moradabad(6),RUCHI VIRA,637363,105762
Samajwadi Party - SP,Rampur(7),MOHIBBULLAH,481503,87434
Samajwadi Party - SP,Sambhal(8),ZIA UR REHMAN,571161,121494
Samajwadi Party - SP,Firozabad(20),AKSHAYA YADAV,543037,89312
Samajwadi Party - SP,Mainpuri(21),DIMPLE YADAV,598526,221639
Samajwadi Party - SP,Etah(22),DEVESH SHAKYA,475808,28052
Samajwadi Party - SP,Badaun(23),ADITYA YADAV,501855,34991
Samajwadi Party - SP,Aonla(24),NEERAJ MAURYA,492515,15969
Samajwadi Party - SP,Kheri(28),UTKARSH VERMA 'MADHUR',557365,34329
Samajwadi Party - SP,Dhaurahra(29),ANAND BHADAURIYA,443743,4449
Samajwadi Party - SP,Mohanlalganj(34),R.K. CHAUDHARY,667869,70292
Samajwadi Party - SP,Sultanpur(38),RAMBHUAL NISHAD,444330,43174
Samajwadi Party - SP,Pratapgarh(39),SHIV PAL SINGH PATEL (DR. S P SINGH),441932,66206
Samajwadi Party - SP,Etawah(41),JITENDRA KUMAR DOHARE,490747,58419
Samajwadi Party - SP,Kannauj(42),AKHILESH YADAV,642292,170922
Samajwadi Party - SP,Jalaun(45),NARAYAN DAS AHIRWAR,530180,53898
Samajwadi Party - SP,Hamirpur(47),AJENDRA SINGH LODHI,490683,2629
Samajwadi Party - SP,Banda(48),KRISHNA DEVI SHIVSHANKER PATEL,406567,71210
Samajwadi Party - SP,Fatehpur(49),NARESH CHANDRA UTTAM PATEL,500328,33199
Samajwadi Party - SP,Kaushambi(50),PUSHPENDRA SAROJ,509787,103944
Samajwadi Party - SP,Faizabad(54),AWADHESH PRASAD,554289,54567
Samajwadi Party - SP,Ambedkar Nagar(55),LALJI VERMA,544959,137247
Samajwadi Party - SP,Shrawasti(58),RAM SHIROMANI VERMA,511055,76673
Samajwadi Party - SP,Basti(61),RAM PRASAD CHAUDHARY,527005,100994
Samajwadi Party - SP,Sant Kabir Nagar(62),LAXMIKANT PAPPU NISHAD,498695,92170
Samajwadi Party - SP,Lalganj(68),DAROGA PRASAD SAROJ,439959,115023
Samajwadi Party - SP,Azamgarh(69),DHARMENDRA YADAV,508239,161035
Samajwadi Party - SP,Ghosi(70),RAJEEV RAI,503131,162943
Samajwadi Party - SP,Salempur(71),RAMASHANKAR RAJBHAR,405472,3573
Samajwadi Party - SP,Ballia(72),SANATAN PANDEY,467068,43384
Samajwadi Party - SP,Jaunpur(73),BABU SINGH KUSHWAHA,509130,99335
Samajwadi Party - SP,Machhlishahr(74),PRIYA SAROJ,451292,35850
Samajwadi Party - SP,Ghazipur(75),AFZAL ANSARI,539912,124861
Samajwadi Party - SP,Chandauli(76),BIRENDRA SINGH,474476,21565
Samajwadi Party - SP,Robertsganj(80),CHHOTELAL,465848,129234
All India Trinamool Congress - AITC,Coochbehar(1),JAGADISH CHANDRA BARMA BASUNIA,788375,39250
All India Trinamool Congress - AITC,Jangipur(9),KHALILUR RAHAMAN,544427,116637
All India Trinamool Congress - AITC,Baharampur(10),PATHAN YUSUF,524516,85022
All India Trinamool Congress - AITC,Murshidabad(11),ABU TAHER KHAN,682442,164215
All India Trinamool Congress - AITC,Krishnanagar(12),MAHUA MOITRA,628789,56705
All India Trinamool Congress - AITC,Barrackpur(15),PARTHA BHOWMICK,520231,64438
All India Trinamool Congress - AITC,Dum dum(16),SOUGATA RAY,528579,70660
All India Trinamool Congress - AITC,Barasat(17),KAKOLI GHOSH DASTIDAR,692010,114189
All India Trinamool Congress - AITC,Basirhat(18),SK NURUL ISLAM,803762,333547
All India Trinamool Congress - AITC,Joynagar(19),PRATIMA MONDAL,894312,470219
All India Trinamool Congress - AITC,Mathurapur(20),BAPI HALDAR,755731,201057
All India Trinamool Congress - AITC,Diamond harbour(21),ABHISHEK BANERJEE,1048230,710930
All India Trinamool Congress - AITC,Jadavpur(22),SAYANI GHOSH,717899,258201
All India Trinamool Congress - AITC,Kolkata Dakshin(23),MALA ROY,615274,187231
All India Trinamool Congress - AITC,Kolkata Uttar(24),BANDYOPADHYAY SUDIP,454696,92560
All India Trinamool Congress - AITC,Howrah(25),PRASUN BANERJEE,626493,169442
All India Trinamool Congress - AITC,Uluberia(26),SAJDA AHMED,724622,218673
All India Trinamool Congress - AITC,Srerampur(27),KALYAN BANERJEE,673970,174830
All India Trinamool Congress - AITC,Hooghly(28),RACHNA BANERJEE,702744,76853
All India Trinamool Congress - AITC,Arambagh(29),BAG MITALI,712587,6399
All India Trinamool Congress - AITC,Ghatal(32),ADHIKARI DEEPAK (DEV),837990,182868
All India Trinamool Congress - AITC,Jhargram(33),KALIPADA SAREN (KHERWAL),743478,174048
All India Trinamool Congress - AITC,Medinipur(34),JUNE MALIAH,702192,27191
All India Trinamool Congress - AITC,Bankura(36),ARUP CHAKRABORTY,641813,32778
All India Trinamool Congress - AITC,Bardhaman Purba(38),DR. SHARMILA SARKAR,720302,160572
All India Trinamool Congress - AITC,Bardhaman-Durgapur(39),AZAD KIRTI JHA,720667,137981
All India Trinamool Congress - AITC,Asansol(40),SHATRUGHAN PRASAD SINHA,605645,59564
All India Trinamool Congress - AITC,Bolpur(41),ASIT KUMAR MAL,855633,327253
All India Trinamool Congress - AITC,Birbhum(42),SATABDI ROY,717961,197650
Dravida Munnetra Kazhagam - DMK,CHENNAI NORTH(2),DR.KALANIDHI VEERASWAMY,497333,339222
Dravida Munnetra Kazhagam - DMK,CHENNAI SOUTH(3),T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,516628,225945
Dravida Munnetra Kazhagam - DMK,CHENNAI CENTRAL(4),DAYANIDHI MARAN,413848,244689
Dravida Munnetra Kazhagam - DMK,SRIPERUMBUDUR(5),T R BAALU,758611,487029
Dravida Munnetra Kazhagam - DMK,KANCHEEPURAM(6),SELVAM. G,586044,221473
Dravida Munnetra Kazhagam - DMK,ARAKKONAM(7),S JAGATHRATCHAKAN,563216,306559
Dravida Munnetra Kazhagam - DMK,VELLORE(8),DM KATHIR ANAND,568692,215702
Dravida Munnetra Kazhagam - DMK,DHARMAPURI(10),MANI. A.,432667,21300
Dravida Munnetra Kazhagam - DMK,TIRUVANNAMALAI(11),"ANNADURAI, C.N.",547379,233931
Dravida Munnetra Kazhagam - DMK,ARANI(12),THARANIVENTHAN M S,500099,208766
Dravida Munnetra Kazhagam - DMK,KALLAKURICHI(14),MALAIYARASAN D,561589,53784
Dravida Munnetra Kazhagam - DMK,SALEM(15),SELVAGANAPATHI T M,566085,70357
Dravida Munnetra Kazhagam - DMK,NAMAKKAL(16),MATHESWARAN V S,462036,29112
Dravida Munnetra Kazhagam - DMK,ERODE(17),K E PRAKASH,562339,236566
Dravida Munnetra Kazhagam - DMK,NILGIRIS(19),RAJA A,473212,240585
Dravida Munnetra Kazhagam - DMK,COIMBATORE(20),GANAPATHY RAJKUMAR P,568200,118068
Dravida Munnetra Kazhagam - DMK,POLLACHI(21),ESWARASAMY K,533377,252042
Dravida Munnetra Kazhagam - DMK,PERAMBALUR(25),ARUN NEHRU,603209,389107
Dravida Munnetra Kazhagam - DMK,THANJAVUR(30),MURASOLI S,502245,319583
Dravida Munnetra Kazhagam - DMK,THENI(33),THANGA TAMILSELVAN,571493,278825
Dravida Munnetra Kazhagam - DMK,THOOTHUKKUDI(36),KANIMOZHI KARUNANIDHI,540729,392738
Dravida Munnetra Kazhagam - DMK,TENKASI(37),DR RANI SRI KUMAR,425679,196199
Telugu Desam - TDP,Srikakulam(2),KINJARAPU RAMMOHAN NAIDU,754328,327901
Telugu Desam - TDP,Vizianagaram(3),APPALANAIDU KALISETTI,743113,249351
Telugu Desam - TDP,Visakhapatnam(4),SRIBHARAT MATHUKUMILI,907467,504247
Telugu Desam - TDP,Amalapuram (SC)(7),G M HARISH (BALAYOGI),796981,342196
Telugu Desam - TDP,Eluru(10),PUTTA MAHESH KUMAR,746351,181857
Telugu Desam - TDP,Vijayawada(12),KESINENI SIVANATH (CHINNI),794154,282085
Telugu Desam - TDP,Guntur(13),DR CHANDRA SEKHAR PEMMASANI,864948,344695
Telugu Desam - TDP,Narsaraopet(14),LAVU SRIKRISHNA DEVARAYALU,807996,159729
Telugu Desam - TDP,Bapatla (SC)(15),KRISHNA PRASAD TENNETI,717493,208031
Telugu Desam - TDP,Ongole(16),MAGUNTA SREENIVASULU REDDY,701894,50199
Telugu Desam - TDP,Nandyal(17),DR BYREDDY SHABARI,701131,111975
Telugu Desam - TDP,Kurnoolu(18),BASTIPATI NAGARAJU PANCHALINGALA,658914,111298
Telugu Desam - TDP,Ananthapur(19),AMBICA G LAKSHMINARAYANA VALMIKI,768245,188555
Telugu Desam - TDP,Hindupur(20),B K PARTHASARATHI,725534,132427
Telugu Desam - TDP,Nellore(22),PRABHAKAR REDDY VEMIREDDY,766202,245902
Telugu Desam - TDP,Chittoor(SC)(25),DAGGUMALLA PRASADA RAO,778071,220479
Janata Dal  (United) - JD(U),Valmiki Nagar (1),SUNIL KUMAR,523422,98675
Janata Dal  (United) - JD(U),Sheohar(4),LOVELY ANAND,476612,29143
Janata Dal  (United) - JD(U),Sitamarhi(5),DEVESH CHANDRA THAKUR,515719,51356
Janata Dal  (United) - JD(U),Jhanjharpur(7),RAMPRIT MANDAL,533032,184169
Janata Dal  (United) - JD(U),Supaul(8),DILESHWAR KAMAIT,595038,169803
Janata Dal  (United) - JD(U),Madhepura(13),DINESH CHANDRA YADAV,640649,174534
Janata Dal  (United) - JD(U),Gopalganj(17),DR. ALOK KUMAR SUMAN,511866,127180
Janata Dal  (United) - JD(U),Siwan(18),VIJAYLAKSHMI DEVI,386508,92857
Janata Dal  (United) - JD(U),Bhagalpur(26),AJAY KUMAR MANDAL,536031,104868
Janata Dal  (United) - JD(U),Banka(27),GIRIDHARI YADAV,506678,103844
Janata Dal  (United) - JD(U),Munger(28),RAJIV RANJAN SINGH ALIAS LALAN SINGH,550146,80870
Janata Dal  (United) - JD(U),Nalanda(29),KAUSHALENDRA KUMAR,559422,169114
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,Yavatmal- Washim(14),SANJAY UTTAMRAO DESHMUKH,594807,94473
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,Hingoli(15),AASHTIKAR PATIL NAGESH BAPURAO,492535,108602
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,Parbhani(17),JADHAV SANJAY ( BANDU ) HARIBHAU,601343,134061
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,Nashik(21),RAJABHAU (PARAG) PRAKASH WAJE,616729,162001
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,Mumbai North East(28),SANJAY DINA PATIL,450937,29861
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,Mumbai South Central(30),ANIL YESHWANT DESAI,395138,53384
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,Mumbai South(31),ARVIND GANPAT SAWANT,395655,52673
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,Shirdi (38),BHAUSAHEB RAJARAM WAKCHAURE,476900,50529
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,Osmanabad(40),OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,748752,329846
Nationalist Congress Party – Sharadchandra Pawar - NCPSP,Wardha(8),AMAR SHARADRAO KALE,533106,81648
Nationalist Congress Party – Sharadchandra Pawar - NCPSP,Dindori (20),BHASKAR MURLIDHAR BHAGARE,577339,113199
Nationalist Congress Party – Sharadchandra Pawar - NCPSP,Bhiwandi(23),BALYA MAMA - SURESH GOPINATH MHATRE,499464,66121
Nationalist Congress Party – Sharadchandra Pawar - NCPSP,Baramati(35),SUPRIYA SULE,732312,158333
Nationalist Congress Party – Sharadchandra Pawar - NCPSP,Shirur(36),DR. AMOL RAMSING KOLHE,698692,140951
Nationalist Congress Party – Sharadchandra Pawar - NCPSP,Ahmednagar(37),NILESH DNYANDEV LANKE,624797,28929
Nationalist Congress Party – Sharadchandra Pawar - NCPSP,Beed(39),BAJRANG MANOHAR SONWANE,683950,6553
Nationalist Congress Party – Sharadchandra Pawar - NCPSP,Madha(43),MOHITE-PATIL DHAIRYASHEEL RAJSINH,622213,120837
Shiv Sena - SHS,Buldhana(5),JADHAV PRATAPRAO GANPATRAO,349867,29479
Shiv Sena - SHS,Aurangabad(19),BHUMARE SANDIPANRAO ASARAM,476130,134650
Shiv Sena - SHS,Kalyan(24),DR SHRIKANT EKNATH SHINDE,589636,209144
Shiv Sena - SHS,Thane(25),NARESH GANPAT MHASKE,734231,217011
Shiv Sena - SHS,Mumbai North West(27),RAVINDRA DATTARAM WAIKAR,452644,48
Shiv Sena - SHS,Maval(33),SHRIRANG APPA CHANDU BARNE,692832,96615
Shiv Sena - SHS,Hatkanangale(48),DHAIRYASHEEL SAMBHAJIRAO MANE,520190,13426
Lok Janshakti Party(Ram Vilas) - LJPRV,Vaishali(16),VEENA DEVI,567043,89634
Lok Janshakti Party(Ram Vilas) - LJPRV,Hajipur(21),CHIRAG PASWAN,615718,170105
Lok Janshakti Party(Ram Vilas) - LJPRV,Samastipur(23),SHAMBHAVI,579786,187251
Lok Janshakti Party(Ram Vilas) - LJPRV,Khagaria(25),RAJESH VERMA,538657,161131
Lok Janshakti Party(Ram Vilas) - LJPRV,Jamui(40),ARUN BHARTI,509046,112482
Yuvajana Sramika Rythu Congress Party - YSRCP,Araku (ST)(1),GUMMA THANUJA RANI,477005,50580
Yuvajana Sramika Rythu Congress Party - YSRCP,Kadapa(21),Y. S. AVINASH REDDY,605143,62695
Yuvajana Sramika Rythu Congress Party - YSRCP,Thirupathi(SC)(23),GURUMOORTHY MADDILA,632228,14569
Yuvajana Sramika Rythu Congress Party - YSRCP,Rajampet(24),P V MIDHUN REDDY,644844,76071
Rashtriya Janata Dal - RJD,Patliputra(31),MISHA BHARTI,613283,85174
Rashtriya Janata Dal - RJD,Buxar(33),SUDHAKAR SINGH,438345,30091
Rashtriya Janata Dal - RJD,Jahanabad(36),SURENDRA PRASAD YADAV,443035,142591
Rashtriya Janata Dal - RJD,Aurangabad(37),ABHAY KUMAR SINHA,465567,79111
Communist Party of India  (Marxist) - CPI(M),Alathur (9),K.RADHAKRISHNAN,403447,20111
Communist Party of India  (Marxist) - CPI(M),SIKAR(5),AMRARAM,659300,72896
Communist Party of India  (Marxist) - CPI(M),DINDIGUL(22),SACHITHANANTHAM R,670149,443821
Communist Party of India  (Marxist) - CPI(M),MADURAI(32),VENKATESAN S,430323,209409
Indian Union Muslim League - IUML,Malappuram(6),E.T.  MOHAMMED BASHEER,644006,300118
Indian Union Muslim League - IUML,Ponnani(7),DR. M.P ABDUSSAMAD SAMADANI,562516,235760
Indian Union Muslim League - IUML,RAMANATHAPURAM(35),NAVASKANI K,509664,166782
Aam Aadmi Party - AAAP,Hoshiarpur(5),DR. RAJ KUMAR CHABBEWAL,303859,44111
Aam Aadmi Party - AAAP,Anandpur Sahib(6),MALVINDER SINGH KANG,313217,10846
Aam Aadmi Party - AAAP,Sangrur(12),GURMEET SINGH MEET HAYER,364085,172560
Jharkhand Mukti Morcha - JMM,Rajmahal(1),VIJAY KUMAR HANSDAK,613371,178264
Jharkhand Mukti Morcha - JMM,Dumka(2),NALIN SOREN,547370,22527
Jharkhand Mukti Morcha - JMM,Singhbhum(10),JOBA MAJHI,520164,168402
Janasena Party - JnP,Kakinada(6),TANGELLA UDAY SRINIVAS (TEA TIME UDAY),729699,229491
Janasena Party - JnP,Machilipatnam(11),BALASHOWRY VALLABHANENI,724439,223179
Communist Party of India  (Marxist-Leninist)  (Liberation) - CPI(ML)(L),Arrah(32),SUDAMA PRASAD,529382,59808
Communist Party of India  (Marxist-Leninist)  (Liberation) - CPI(ML)(L),Karakat(35),RAJA RAM SINGH,380581,105858
Janata Dal  (Secular) - JD(S),Mandya(20),H.D. KUMARASWAMY,851881,284620
Janata Dal  (Secular) - JD(S),Kolar(28),M. MALLESH BABU,691481,71388
Viduthalai Chiruthaigal Katchi - VCK,VILUPPURAM(13),RAVIKUMAR. D,477033,70703
Viduthalai Chiruthaigal Katchi - VCK,CHIDAMBARAM(27),THIRUMAAVALAVAN THOL,505084,103554
Communist Party of India - CPI,TIRUPPUR(18),"SUBBARAYAN, K.",472739,125928
Communist Party of India - CPI,NAGAPATTINAM(29),SELVARAJ V,465044,208957
Rashtriya Lok Dal - RLD,Bijnor(4),CHANDAN CHAUHAN,404493,37508
Rashtriya Lok Dal - RLD,Baghpat(11),DR RAJKUMAR SANGWAN,488967,159459
Jammu & Kashmir National Conference - JKN,SRINAGAR(2),AGA SYED RUHULLAH MEHDI,356866,188416
Jammu & Kashmir National Conference - JKN,ANANTNAG-RAJOURI(3),MIAN ALTAF AHMAD,521836,281794
"United People’s Party, Liberal - UPPL",Kokrajhar (1),JOYANTA BASUMATARY,488995,51583
Asom Gana Parishad - AGP,Barpeta(3),PHANI BHUSAN CHOUDHURY,860113,222351
Hindustani Awam Morcha (Secular) - HAMS,Gaya(38),JITAN RAM MANJHI,494960,101812
Kerala Congress - KEC,Kottayam(14),ADV K FRANCIS GEORGE,364631,87266
Revolutionary Socialist Party - RSP,Kollam(18),N K PREMACHANDRAN,443628,150302
Nationalist Congress Party - NCP,Raigad(32),TATKARE SUNIL DATTATREY,508352,82784
Voice of the People Party - VOTPP,Shillong(1),DR. RICKY ANDREW J. SYNGKON,571078,371910
Zoram People’s Movement - ZPM,MIZORAM(1),RICHARD VANLALHMANGAIHA,208552,68288
Shiromani Akali Dal - SAD,Bathinda(11),HARSIMRAT KAUR BADAL,376558,49656
Rashtriya Loktantrik Party - RLTP,NAGAUR(14),HANUMAN BENIWAL,596955,42225
Bharat Adivasi Party - BHRTADVSIP,BANSWARA (20),RAJ KUMAR ROAT,820831,247054
Sikkim Krantikari Morcha - SKM,Sikkim(1),INDRA HANG SUBBA,164396,80830
Marumalarchi Dravida Munnetra Kazhagam - MDMK,TIRUCHIRAPPALLI(24),DURAI VAIKO,542213,313094
Aazad Samaj Party (Kanshi Ram) - ASPKR,Nagina(5),CHANDRASHEKHAR,512552,151473
Apna Dal (Soneylal) - ADAL,Mirzapur(79),ANUPRIYA PATEL,471631,37810
AJSU Party - AJSUP,Giridih(6),CHANDRA PRAKASH CHOUDHARY,451139,80880
All India Majlis-E-Ittehadul Muslimeen - AIMIM,Hyderabad(9),ASADUDDIN OWAISI,661981,338087
Independent - IND,Purnia(12),RAJESH RANJAN ALIAS PAPPU YADAV,567556,23847
Independent - IND,Sangli(44),VISHAL (DADA) PRAKASHBAPU PATIL,571666,100053
Independent - IND,Khadoor Sahib(3),AMRITPAL SINGH,404430,197120
Independent - IND,Faridkot(9),SARABJEET SINGH KHALSA,298062,70053
Independent - IND,Daman & Diu (1),PATEL UMESHBHAI BABUBHAI,42523,6225
Independent - IND,BARAMULLA(1),ABDUL RASHID SHEIKH,472481,204142
Independent - IND,Ladakh(1),MOHMAD HANEEFA,65259,27862
