Parliament Constituency,Winning Candidate,Total Votes,Margin
SRINAGAR(2),AGA SYED RUHULLAH MEHDI,356866,188416
ANANTNAG-RAJOURI(3),MIAN ALTAF AHMAD,521836,281794
