Parliament Constituency,Winning Candidate,Total Votes,Margin
Vaishali(16),VEENA DEVI,567043,89634
Hajipur(21),CHIRAG PASWAN,615718,170105
Samastipur(23),SHAMBHAVI,579786,187251
Khagaria(25),RAJESH VERMA,538657,161131
Jamui(40),ARUN BHARTI,509046,112482
