Parliament Constituency,Winning Candidate,Total Votes,Margin
Purnia(12),RAJESH RANJAN ALIAS PAPPU YADAV,567556,23847
Sangli(44),VISHAL (DADA) PRAKASHBAPU PATIL,571666,100053
Khadoor Sahib(3),AMRITPAL SINGH,404430,197120
Faridkot(9),SARABJEET SINGH KHALSA,298062,70053
Daman & Diu (1),PATEL UMESHBHAI BABUBHAI,42523,6225
BARAMULLA(1),ABDUL RASHID SHEIKH,472481,204142
Ladakh(1),MOHMAD HANEEFA,65259,27862
