Parliament Constituency,Winning Candidate,Total Votes,Margin
Malappuram(6),E.T.  MOHAMMED BASHEER,644006,300118
Ponnani(7),DR. M.P ABDUSSAMAD SAMADANI,562516,235760
RAMANATHAPURAM(35),NAVASKANI K,509664,166782
