Parliament Constituency,Winning Candidate,Total Votes,Margin
Amravati (7),BALWANT BASWANT WANKHADE,526271,19731
Ramtek (9),Shyamkumar (Babalu) Daulat Barve,613025,76768
Bhandara Gondiya(11),DR. PRASHANT YADAORAO PADOLE,587413,37380
Gadchiroli - Chimur(12),DR. KIRSAN NAMDEO,617792,141696
Chandrapur(13),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,718410,260406
Nanded(16),CHAVAN VASANTRAO BALWANTRAO,528894,59442
Jalna(18),KALYAN VAIJINATHRAO KALE,607897,109958
Mumbai North Central(29),GAIKWAD VARSHA EKNATH,445545,16514
Latur (41),DR. KALGE SHIVAJI BANDAPPA,609021,61881
Solapur(42),PRANITI SUSHILKUMAR SHINDE,620225,74197
Kolhapur(47),CHHATRAPATI SHAHU SHAHAJI,754522,154964
Inner Manipur(1),ANGOMCHA BIMOL AKOIJAM,374017,109801
Outer Manipur(2),ALFRED KANNGAM S ARTHUR,384954,85418
Tura(2),SALENG A SANGMA,383919,155241
Nagaland(1),S SUPONGMEREN JAMIR,401951,50984
Koraput(21),SAPTAGIRI SANKAR ULAKA,471393,147744
Gurdaspur(1),SUKHJINDER SINGH RANDHAWA,364043,82861
Amritsar(2),GURJEET SINGH AUJLA,255181,40301
Jalandhar(4),CHARANJIT SINGH CHANNI,390053,175993
Ludhiana(7),AMRINDER SINGH RAJA WARRING,322224,20942
Fatehgarh Sahib(8),AMAR SINGH,332591,34202
Firozpur(10),SHER SINGH GHUBAYA,266626,3242
Patiala(13),DR DHARAMVIRA GANDHI,305616,14831
GANGANAGAR (1),KULDEEP INDORA,726492,88153
CHURU(3),RAHUL KASWAN,728211,72737
JHUNJHUNU     (4),BRIJENDRA SINGH OLA,553168,18235
BHARATPUR (9),SANJNA JATAV,579890,51983
KARAULI-DHOLPUR (10),BHAJAN LAL JATAV,530011,98945
DAUSA (11),MURARI LAL MEENA,646266,237340
