Parliament Constituency,Winning Candidate,Total Votes,Margin
Patliputra(31),MISHA BHARTI,613283,85174
Buxar(33),SUDHAKAR SINGH,438345,30091
Jahanabad(36),SURENDRA PRASAD YADAV,443035,142591
Aurangabad(37),ABHAY KUMAR SINHA,465567,79111
