Parliament Constituency,Winning Candidate,Total Votes,Margin
Yavatmal- Washim(14),SANJAY UTTAMRAO DESHMUKH,594807,94473
Hingoli(15),AASHTIKAR PATIL NAGESH BAPURAO,492535,108602
Parbhani(17),JADHAV SANJAY ( BANDU ) HARIBHAU,601343,134061
Nashik(21),RAJABHAU (PARAG) PRAKASH WAJE,616729,162001
Mumbai North East(28),SANJAY DINA PATIL,450937,29861
Mumbai South Central(30),ANIL YESHWANT DESAI,395138,53384
Mumbai South(31),ARVIND GANPAT SAWANT,395655,52673
Shirdi (38),BHAUSAHEB RAJARAM WAKCHAURE,476900,50529
Osmanabad(40),OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,748752,329846
