Parliament Constituency,Winning Candidate,Total Votes,Margin
Araku (ST)(1),GUMMA THANUJA RANI,477005,50580
Kadapa(21),Y. S. AVINASH REDDY,605143,62695
Thirupathi(SC)(23),GURUMOORTHY MADDILA,632228,14569
Rajampet(24),P V MIDHUN REDDY,644844,76071
