Parliament Constituency,Winning Candidate,Total Votes,Margin
Rajmahal(1),VIJAY KUMAR HANSDAK,613371,178264
Dumka(2),NALIN SOREN,547370,22527
Singhbhum(10),JOBA MAJHI,520164,168402
