Parliament Constituency,Winning Candidate,Total Votes,Margin
Kakinada(6),TANGELLA UDAY SRINIVAS (TEA TIME UDAY),729699,229491
Machilipatnam(11),BALASHOWRY VALLABHANENI,724439,223179
