Parliament Constituency,Winning Candidate,Total Votes,Margin
Wardha(8),AMAR SHARADRAO KALE,533106,81648
Dindori (20),BHASKAR MURLIDHAR BHAGARE,577339,113199
Bhiwandi(23),BALYA MAMA - SURESH GOPINATH MHATRE,499464,66121
Baramati(35),SUPRIYA SULE,732312,158333
Shirur(36),DR. AMOL RAMSING KOLHE,698692,140951
Ahmednagar(37),NILESH DNYANDEV LANKE,624797,28929
Beed(39),BAJRANG MANOHAR SONWANE,683950,6553
Madha(43),MOHITE-PATIL DHAIRYASHEEL RAJSINH,622213,120837
