Parliament Constituency,Winning Candidate,Total Votes,Margin
Alathur (9),K.RADHAKRISHNAN,403447,20111
SIKAR(5),AMRARAM,659300,72896
DINDIGUL(22),SACHITHANANTHAM R,670149,443821
MADURAI(32),VENKATESAN S,430323,209409
