Parliament Constituency,Winning Candidate,Total Votes,Margin
Buldhana(5),JADHAV PRATAPRAO GANPATRAO,349867,29479
Aurangabad(19),BHUMARE SANDIPANRAO ASARAM,476130,134650
Kalyan(24),DR SHRIKANT EKNATH SHINDE,589636,209144
Thane(25),NARESH GANPAT MHASKE,734231,217011
Mumbai North West(27),RAVINDRA DATTARAM WAIKAR,452644,48
Maval(33),SHRIRANG APPA CHANDU BARNE,692832,96615
Hatkanangale(48),DHAIRYASHEEL SAMBHAJIRAO MANE,520190,13426
